host_id,host_kpi,host_name,host_since_year,host_since_anniversary,host_since_ann_cleaned,host_since_month,host_since_day,host_since_month_cleaned,host_since_day_cleaned,host_since_date,host_account_age,id,neighborhood,neighborhood_cleaned,city,neighborhood_kpi,city_cleaned,state,state_cleaned,zipcode,country,latitude,longitude,location,property_type,room_type,accommodates,bathrooms,bedrooms,bedrooms_kpi,beds,bed_type,price,guests_included,extra_people,minimum_nights,host_response_time,host_response_rate,number_of_reviews,number_of_reviews_kpi,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,apx_number_of_stays,est_daily_revenue_include0,est_daily_revenue_include1,est_daily_revenue_include>1,est_daily_revenue,est_revenue_per_booking,est_total_revenue,est_yearly_revenue
1662,Low,Chloe,2008,POINT(11.0 8.0),11.0 8.0,8.0,11.0,8,11,8/11/2008,10.54,304958,Westerpark,Westerpark,Amsterdam,Top 5,Amsterdam,North Holland,North Holland,1053,Netherlands,52.37302064,4.868460923,POINT(4.868460923 52.37302064),Apartment,Entire home/apt,4,2,2,2,2,Real Bed,130,4,10,4,within a day,0.8,11,Low,98,10,10,9,10,10,10,22,,,130,130,520,11440,1085.31
3159,Low,Daniel,2008,POINT(24.0 9.0),24.0 9.0,9.0,24.0,9,24,9/24/2008,10.42,2818,Oostelijk Havengebied - Indische Buurt,Docklands - Indian Neighborhood,Amsterdam,Low,Amsterdam,North Holland,North Holland,unknown,Netherlands,52.36575451,4.941419235,POINT(4.941419235 52.36575451),Apartment,Private room,2,1,1,1,2,Real Bed,59,1,10,3,within an hour,1,108,High,97,10,10,10,10,9,10,216,,69,,69,207,44712,4290.87
15618,Low,Shelly,2009,POINT(2.0 5.0),2.0 5.0,5.0,2.0,5,2,5/2/2009,9.82,51969,De Pijp - Rivierenbuurt,Pipe - Rivierenbuurt,De Pijp,Top 5,De Pijp,North Holland,North Holland,1072,Netherlands,52.35748276,4.887099593,POINT(4.887099593 52.35748276),Apartment,Entire home/apt,3,1.5,2,2,2,Real Bed,100,2,30,7,within a few hours,1,3,Low,95,10,9,10,10,10,10,6,,,100,100,700,4200,427.71
186729,Low,Shawna,2010,POINT(31.0 7.0),31.0 7.0,7.0,31.0,7,31,7/31/2010,8.57,82482,Centrum-West,Center-West,Amsterdam,Top 5,Amsterdam,North Holland,North Holland,1016,Netherlands,52.37025973,4.880030195,POINT(4.880030195 52.37025973),Apartment,Private room,4,1,1,1,1,Real Bed,85,2,15,1,within a day,1,297,High,89,9,8,9,9,10,9,594,,,85,85,85,50490,5889.16
1738291,Low,Rijmert,2012,POINT(12.0 2.0),12.0 2.0,2.0,12.0,2,12,2/12/2012,7.04,740332,Watergraafsmeer,Watergraafsmeer,Amsterdam,Low,Amsterdam,North Holland,North Holland,1098,Netherlands,52.35505616,4.932077684,POINT(4.932077684 52.35505616),House,Private room,2,1,1,1,1,Real Bed,45,1,30,2,within a few hours,0.98,94,Medium,91,9,9,10,9,9,9,188,,75,,75,150,28200,4007.80
1738291,Low,Rijmert,2012,POINT(12.0 2.0),12.0 2.0,2.0,12.0,2,12,2/12/2012,7.04,342540,Watergraafsmeer,Watergraafsmeer,Watergraafsmeer,Low,Watergraafsmeer,North Holland,North Holland,1098,Netherlands,52.35665593,4.933655151,POINT(4.933655151 52.35665593),Bed & Breakfast,Private room,2,1,1,1,2,Real Bed,60,1,30,1,within a few hours,0.98,71,Medium,91,10,9,9,9,9,9,142,,90,,90,90,12780,1816.30
1738804,Low,Daan & Brechtje,2012,POINT(12.0 2.0),12.0 2.0,2.0,12.0,2,12,2/12/2012,7.04,1239854,Centrum-West,Center-West,Amsterdam,Top 5,Amsterdam,North Holland,North Holland,1013,Netherlands,52.38372976,4.884683995,POINT(4.884683995 52.38372976),Apartment,Entire home/apt,4,1,2,2,2,Futon,149,3,30,2,N/A,1,10,Low,96,9,10,10,9,10,10,20,,,149,149,298,5960,847.04
1739359,Low,Gijs & Brigitte,2012,POINT(12.0 2.0),12.0 2.0,2.0,12.0,2,12,2/12/2012,7.04,451408,De Pijp - Rivierenbuurt,Pipe - Rivierenbuurt,Amsterdam,Top 5,Amsterdam,North Holland,North Holland,1072 TA,Netherlands,52.35075584,4.890155937,POINT(4.890155937 52.35075584),Apartment,Entire home/apt,5,1.5,3,3 or more,3,Real Bed,175,3,40,2,within a few hours,1,12,Low,98,10,10,10,10,9,9,24,,,175,175,350,8400,1193.81
1740785,Low,Rob & Fang,2012,POINT(12.0 2.0),12.0 2.0,2.0,12.0,2,12,2/12/2012,7.04,343094,Oud-Oost,Former East,Watergraafsmeer,Low,Watergraafsmeer,North Holland,North Holland,1091,Netherlands,52.35549015,4.908523997,POINT(4.908523997 52.35549015),House,Private room,2,1,1,1,1,Real Bed,79,2,10,2,within an hour,0.92,59,Medium,97,10,10,10,10,10,10,118,,,79,79,158,18644,2649.70
1743575,Low,Anna,2012,POINT(13.0 2.0),13.0 2.0,2.0,13.0,2,13,2/13/2012,7.03,315820,Oud-Oost,Former East,Amsterdam,Low,Amsterdam,North Holland,North Holland,1091 JB,Netherlands,52.35562206,4.915361669,POINT(4.915361669 52.35562206),Apartment,Entire home/apt,4,1.5,2,2,2,Real Bed,107,2,30,2,within an hour,0.75,19,Low,98,10,10,10,10,9,10,38,,,107,107,214,8132,1156.17
