host_id,host_name,host_since_year,host_since_anniversary,id,neighbourhood_cleansed,city,state,zipcode,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,guests_included,extra_people,minimum_nights,host_response_time,host_response_rate,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
1662,Chloe,2008,8/11,304958,Westerpark,Amsterdam,North Holland,1053,Netherlands,52.37302064,4.868460923,Apartment,Entire home/apt,4,2,2,2,Real Bed,130,4,10,4,within a day,0.8,11,98,10,10,9,10,10,10
3159,Daniel,2008,9/24,2818,Oostelijk Havengebied - Indische Buurt,Amsterdam,North Holland,,Netherlands,52.36575451,4.941419235,Apartment,Private room,2,1,1,2,Real Bed,59,1,10,3,within an hour,1,108,97,10,10,10,10,9,10
3718,Britta,2008,10/19,103026,De Baarsjes - Oud-West,Amsterdam,Noord-Holland,1053,Netherlands,52.36938767,4.866972319,Apartment,Entire home/apt,4,1,1,1,Real Bed,95,2,25,3,within a few hours,1,15,92,9,9,10,10,9,9
4716,Stefan,2008,11/30,550017,Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,52.36190508,4.888050037,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,1,10,2,within a day,1,20,97,10,10,10,10,10,10
5271,Tyler,2008,12/17,4728389,Centrum-West,Amsterdam,Noord-Holland,1016 AM,Netherlands,52.37153345,4.887057291,Apartment,Entire home/apt,6,1,2,2,Real Bed,250,2,25,2,within a day,0.89,1,100,8,10,8,10,10,6
5271,Tyler,2008,12/17,5500954,Centrum-West,Amsterdam,NH,1016 AM,Netherlands,52.3713592,4.888072287,Apartment,Private room,4,1,1,1,Real Bed,140,2,25,2,within a day,0.9,0,,,,,,,
5271,Tyler,2008,12/17,5181918,Centrum-West,Amsterdam,Noord-Holland,1016 AM,Netherlands,52.3704458,4.889069478,Apartment,Private room,2,1,1,1,Futon,115,1,0,1,within a day,0.89,4,95,9,9,9,10,10,9
5988,Ramona,2009,1/4,2774924,Zuid,Amsterdam,North Holland,1071 VV,Netherlands,52.35564811,4.885834819,House,Private room,2,1,1,1,Real Bed,80,1,0,3,within an hour,1,33,95,9,10,10,10,10,9
9616,Laura,2009,3/9,23651,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1078,Netherlands,52.34591098,4.891982605,Apartment,Private room,3,1,1,1,Real Bed,80,2,15,6,within a day,1,36,96,9,10,10,10,9,9
14589,Rutger,2009,4/23,738245,Centrum-West,Amsterdam,North Holland,1015,Netherlands,52.37935439,4.883276386,House,Entire home/apt,2,1,1,1,Real Bed,90,1,0,3,N/A,N/A,8,93,10,9,9,9,10,9
15618,Shelly,2009,5/2,51969,De Pijp - Rivierenbuurt,De Pijp,North Holland,1072,Netherlands,52.35748276,4.887099593,Apartment,Entire home/apt,3,1.5,2,2,Real Bed,100,2,30,7,within a few hours,1,3,95,10,9,10,10,10,10
21669,Mark,2009,6/15,8061,De Baarsjes - Oud-West,Amsterdam,Noord-Holland,1056 TM,Netherlands,52.371207,4.857291017,Apartment,Entire home/apt,3,1,2,2,Real Bed,95,1,0,3,within a day,0.75,2,100,10,10,10,10,10,10
26919,Hugo,2009,7/22,98558,Centrum-Oost,Amsterdam,North Holland,1011 JX,Netherlands,52.36959599,4.899069358,Apartment,Entire home/apt,2,1,1,1,Real Bed,145,1,0,3,within an hour,1,19,99,10,10,10,10,10,9
32366,Sabine & Sander,2009,8/18,9693,Centrum-West,Amsterdam,North Holland,1013,Netherlands,52.37801663,4.892703442,Apartment,Entire home/apt,3,1.5,1,1,Real Bed,132,2,30,4,within a day,0.9,34,99,10,10,10,10,10,9
36701,Leonie,2009,9/7,2323819,Bos en Lommer,Amsterdam,North Holland,1055XP,Netherlands,52.38141023,4.852742701,Apartment,Entire home/apt,2,1,1,1,Real Bed,79,1,0,1,within a few hours,1,13,100,10,10,10,10,9,10
42212,Miguel,2009,9/29,280105,Centrum-West,Amsterdam,North Holland,1013,Netherlands,52.38029988,4.885143665,Apartment,Entire home/apt,4,1,0,2,Real Bed,180,1,65,2,within an hour,0.96,18,99,10,10,10,10,10,9
42212,Miguel,2009,9/29,3527892,Centrum-West,Amsterdam,North Holland,1013HE,Netherlands,52.38147315,4.886809875,Loft,Shared room,1,1,1,1,Real Bed,75,1,0,1,within an hour,0.96,2,100,10,10,10,10,10,10
42725,Marco,2009,10/1,933385,De Baarsjes - Oud-West,Amsterdam,North Holland,1053,Netherlands,52.36761407,4.866895471,Apartment,Private room,2,1,1,2,Real Bed,82,2,0,2,within a few hours,1,19,98,10,10,10,10,10,10
46431,Jennifer & Michiel,2009,10/17,1182306,Zuid,Amsterdam,North Holland,1059,Netherlands,52.34658737,4.84919711,Apartment,Private room,2,1,1,1,Real Bed,59,1,0,1,within a few hours,1,58,95,9,10,9,9,9,9
47517,Geert,2009,10/21,3047061,Watergraafsmeer,Amsterdam,,1097 AM,Netherlands,52.3534049,4.92442006,Apartment,Entire home/apt,2,1,1,1,Real Bed,99,1,0,7,N/A,N/A,0,,,,,,,
50517,Sanne,2009,11/1,4003922,Centrum-Oost,Amsterdam,North Holland,1018,Netherlands,52.36928364,4.909938668,Apartment,Entire home/apt,4,1,1,2,Real Bed,190,1,0,1,a few days or more,0.4,0,,,,,,,
56142,Joan,2009,11/20,1003865,De Baarsjes - Oud-West,Amsterdam,North Holland,1053 LB,Netherlands,52.36675578,4.871953549,Apartment,Entire home/apt,4,1,1,2,Real Bed,110,2,10,5,within a few hours,1,0,,,,,,,
14589,Rutger,2009,4/23,738245,Centrum-West,Amsterdam,North Holland,1015,Netherlands,52.37935439,4.883276386,House,Entire home/apt,2,1,1,1,Real Bed,90,1,0,3,N/A,N/A,8,93,10,9,9,9,10,9
56142,Joan,2009,11/20,25428,Centrum-West,Amsterdam,North Holland,1016,Netherlands,52.3731684,4.883239196,Apartment,Entire home/apt,3,1,1,1,Real Bed,100,1,0,14,within a few hours,1,0,,,,,,,
59059,Marius,2009,12/1,75583,Slotervaart,Amsterdam,North Holland,1058,Netherlands,52.36522071,4.838338484,Apartment,Private room,4,1.5,1,2,Real Bed,35,1,30,2,within an hour,1,107,99,10,10,10,10,9,10
59297,Jan,2009,12/2,15061,Westerpark,Amsterdam,North Holland,1052,Netherlands,52.38268456,4.876129664,Apartment,Private room,4,,1,2,Real Bed,43,1,43,2,within a day,1,58,95,9,9,10,10,9,10
