SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
Redfin Data,,Single Family Residential,515 Munich St,San Francisco,CA,94112,925000,3,2,San Francisco,1240,2495,1949,14,746,,Pre On-Market,,,http://www.redfin.com/CA/San-Francisco/515-Munich-St-94112/home/947662,Coming Soon,38596,N,Y,37.7174223,-122.4292392
Redfin Data,,Single Family Residential,76 Homestead St,San Francisco,CA,94114,1,4,3,San Francisco,2744,3750,1906,12,0,,Pre On-Market,,,http://www.redfin.com/CA/San-Francisco/76-Homestead-St-94114/home/1123206,Coming Soon,38781,N,Y,37.7497597,-122.4398564
Redfin Data,,Condo/Co-op,333 Main St Unit 8F,San Francisco,CA,94105,895000,1,1,San Francisco,832,,2008,7,1076,,Pre On-Market,,,http://www.redfin.com/CA/San-Francisco/333-Main-St-94105/unit-8F/home/21966945,Coming Soon,39150,N,Y,37.7891307,-122.3910195
MLS Listing,,Vacant Land,886 Moultrie St,San Francisco,CA,94110,2100000,,,Bernal Heights,,,,1287,,,Active,,,http://www.redfin.com/CA/San-Francisco/886-Moultrie-St-94110/unit-V/home/110064256,San Francisco MLS,441005,N,Y,37.733315,-122.416504
MLS Listing,,Vacant Land,202 Union St,San Francisco,CA,94133,500000,,,Telegraph Hill,,1470,,956,,,Active,,,http://www.redfin.com/CA/San-Francisco/202-Union-St-94133/home/108591047,San Francisco MLS,453033,N,Y,37.8013411,-122.4029473
MLS Listing,,Condo/Co-op,1450 Post St #316,San Francisco,CA,94109,400000,1,2,Lower Pacific Height,718,,1992,497,557,5081,Active,,,http://www.redfin.com/CA/San-Francisco/1450-Post-St-94109/unit-316/home/571759,San Francisco MLS,465790,N,Y,37.7863611,-122.4258311
MLS Listing,,Multi-Family (5+ Unit),285 Turk St,San Francisco,CA,94102,14750000,11,,Tenderloin,25130,4743,1922,416,587,,Active,,,http://www.redfin.com/CA/San-Francisco/285-Turk-St-94102/home/145923210,San Francisco MLS,471185,N,Y,37.7827103,-122.4138065
MLS Listing,,Single Family Residential,3225 Ingalls St,San Francisco,CA,94124,799000,2,2,Bayview,825,2574,1908,417,968,,Active,,,http://www.redfin.com/CA/San-Francisco/3225-Ingalls-St-94124/home/743525,San Francisco MLS,471608,N,Y,37.7186617,-122.3931327
MLS Listing,,Multi-Family (5+ Unit),381 Turk St,San Francisco,CA,94102,7150000,3,,Tenderloin,13957,6150,1915,360,512,,Active,,,http://www.redfin.com/CA/San-Francisco/381-Turk-St-94102/home/1594283,San Francisco MLS,473898,N,Y,37.782407,-122.415263
MLS Listing,,Condo/Co-op,2000 Washington St #5,San Francisco,CA,94109,17500000,4,3.5,Pacific Heights,5400,,1922,318,3241,4471,Active,,,http://www.redfin.com/CA/San-Francisco/2000-Washington-St-94109/unit-005/home/12400545,San Francisco MLS,475321,N,Y,37.792936,-122.4264631
MLS Listing,,Multi-Family (2-4 Unit),1336-1340 South Van Ness Ave,San Francisco,CA,94110,1995000,,,Inner Mission,3693,2875,1908,315,540,,Active,,,http://www.redfin.com/CA/San-Francisco/1336-S-Van-Ness-Ave-94110/home/1464577,San Francisco MLS,475436,N,Y,37.7517137,-122.4165399
MLS Listing,,Condo/Co-op,2500 Steiner St #3,San Francisco,CA,94115,7400000,5,4,Pacific Heights,3500,,1927,281,2114,3186,Active,,,http://www.redfin.com/CA/San-Francisco/2500-Steiner-St-94115/unit-3/home/12400542,San Francisco MLS,475508,N,Y,37.792544,-122.4360312
MLS Listing,,Condo/Co-op,1450 Post St #806,San Francisco,CA,94109,200000,1,1,Lower Pacific Height,544,,1992,315,368,4586,Active,,,http://www.redfin.com/CA/San-Francisco/1450-Post-St-94109/unit-806/home/572758,San Francisco MLS,475601,N,Y,37.7863611,-122.4258311
MLS Listing,,Condo/Co-op,1450 Post St #816,San Francisco,CA,94109,774000,2,2,Lower Pacific Height,1094,,1992,290,707,6962,Active,,,http://www.redfin.com/CA/San-Francisco/1450-Post-St-94109/unit-816/home/2033199,San Francisco MLS,475976,N,Y,37.7863611,-122.4258311
MLS Listing,,Condo/Co-op,401 Harrison St Ph 48B,San Francisco,CA,94105,8800000,3,3.5,South Beach,3214,,2014,309,2738,1652,Active,,,http://www.redfin.com/CA/San-Francisco/401-Harrison-St-94105/unit-48B/home/144064346,San Francisco MLS,476207,N,Y,37.786063,-122.392176
MLS Listing,,Condo/Co-op,1450 Post St #812,San Francisco,CA,94109,389000,1,1,Lower Pacific Height,718,,1992,285,542,5078,Active,,,http://www.redfin.com/CA/San-Francisco/1450-Post-St-94109/unit-812/home/1209205,San Francisco MLS,476332,N,Y,37.7863611,-122.4258311
MLS Listing,,Condo/Co-op,1001 California St Unit TH2,San Francisco,CA,94108,4500000,3,3.5,Nob Hill,3840,,1914,291,1172,6223,Active,,,http://www.redfin.com/CA/San-Francisco/1001-California-St-94108/unit-TH2/home/58856627,San Francisco MLS,477181,N,Y,37.791608,-122.4110507
