SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,100 Eton Row #401,Weehawken,NJ,7086,1770000,3,3,Weehawken,1964,,,880,901,,Active,,,http://www.redfin.com/NJ/Weehawken/100-Eton-Row-07086/unit-401/home/39921773,NJMLS,1706627,N,Y,40.7675686,-74.0173758
MLS Listing,,Condo/Co-op,600 Harbor Blvd #1008,Weehawken,NJ,7086,699000,2,2.5,Weehawken,1365,,,150,512,,Active,,,http://www.redfin.com/NJ/Weehawken/600-Harbor-Blvd-07086/unit-1008/home/36626984,NJMLS,1907156,N,Y,40.7626876,-74.0206189
MLS Listing,,Condo/Co-op,41 Eton Row #41,Weehawken,NJ,7086,1075000,2,2.5,Weehawken,1640,,,146,655,,Active,July-27-2019 02:00 PM,July-27-2019 04:00 PM,http://www.redfin.com/NJ/Weehawken/41-Eton-Row-07086/unit-41/home/160539352,NJMLS,1907621,N,Y,40.7675436,-74.0174328
MLS Listing,,Single Family Residential,53-55 Kingswood Rd,Weehawken,NJ,7086,3445000,7,5,Weehawken,,,,132,,,Active,,,http://www.redfin.com/NJ/Weehawken/53-Kingswood-Rd-07086/home/36626780,NJMLS,1909936,N,Y,40.7669286,-74.0202857
MLS Listing,,Condo/Co-op,250 Henley Pl #207,Weehawken,NJ,7086,1089000,2,2,Weehawken,,,,128,,,Active,,,http://www.redfin.com/NJ/Weehawken/250-Henley-Pl-07086/unit-207/home/39922988,NJMLS,1910634,N,Y,40.7715139,-74.0158009
MLS Listing,,Condo/Co-op,1000 Ave At Port Imperial #709,Weehawken,NJ,7086,1050000,2,2,Weehawken,1333,,,126,788,,Active,,,http://www.redfin.com/NJ/Weehawken/1000-Ave-at-Port-Imperial-07086/unit-709/home/100378257,NJMLS,1910841,N,Y,40.7743595,-74.0112629
MLS Listing,,Condo/Co-op,31 Eton Row,Weehawken,NJ,7086,988000,2,2.5,Weehawken,1640,,,120,602,,Active,,,http://www.redfin.com/NJ/Weehawken/31-Eton-Row-07086/home/39922963,NJMLS,1911988,N,Y,40.7675436,-74.0174328
MLS Listing,,Single Family Residential,6 Carroll Pl,Weehawken,NJ,7086,599000,2,3,Weehawken,,2962,,117,,,Active,,,http://www.redfin.com/NJ/Weehawken/6-Carroll-Pl-07086/home/36627927,NJMLS,1912601,N,Y,40.7746935,-74.0181921
MLS Listing,,Condo/Co-op,600 Harbor Blvd Unit 934/936,Weehawken,NJ,7086,945000,3,2.5,Weehawken,1750,,,116,540,,Active,,,http://www.redfin.com/NJ/Weehawken/600-Harbor-Blvd-07086/unit-934/home/36627077,NJMLS,1912726,N,Y,40.7626876,-74.0206189
MLS Listing,,Condo/Co-op,52 Oxford Lndg Ph 52,Weehawken,NJ,7086,1698000,2,2.5,Weehawken,,,,96,,,Active,July-27-2019 01:00 PM,July-27-2019 03:30 PM,http://www.redfin.com/NJ/Weehawken/52-Oxford-Lndg-07086/unit-52/home/162428939,NJMLS,1917470,N,Y,40.7685659,-74.0161558
MLS Listing,,Condo/Co-op,250 Henley Pl #301,Weehawken,NJ,7086,1358000,2,3,Weehawken,1487,,,86,913,,Active,,,http://www.redfin.com/NJ/Weehawken/250-Henley-Pl-07086/unit-301/home/39923035,NJMLS,1919259,N,Y,40.7715139,-74.0158009
MLS Listing,,Condo/Co-op,9 Grand St,Weehawken,NJ,7086,199000,1,1,Weehawken,515,,,73,386,,Active,,,http://www.redfin.com/NJ/Weehawken/9-Grand-St-07086/home/165485764,NJMLS,1922138,N,Y,40.7591342,-74.0304535
MLS Listing,,Condo/Co-op,1000 Ave At Port Imperial #308,Weehawken,NJ,7086,1379000,3,3,Weehawken,1550,,,66,890,,Active,,,http://www.redfin.com/NJ/Weehawken/1000-Ave-at-Port-Imperial-07086/unit-308/home/100378213,NJMLS,1923404,N,Y,40.7743595,-74.0112629
MLS Listing,,Condo/Co-op,800 Ave At Port Imperial #812,Weehawken,NJ,7086,1315000,2,2,Weehawken,1497,,,53,878,,Active,,,http://www.redfin.com/NJ/Weehawken/800-Ave-at-Port-Imperial-07086/unit-812/home/166900490,NJMLS,1925519,N,Y,40.7754156,-74.0115139
MLS Listing,,Condo/Co-op,800 Ave At Port Imperial #306,Weehawken,NJ,7086,2475000,3,2.5,Weehawken,1867,,,53,1326,,Active,,,http://www.redfin.com/NJ/Weehawken/800-Ave-at-Port-Imperial-07086/unit-306/home/166900563,NJMLS,1925523,N,Y,40.7754156,-74.0115139
MLS Listing,,Condo/Co-op,800 Ave At Port Imperial #418,Weehawken,NJ,7086,1730000,3,3,Weehawken,1529,,,53,1131,,Active,,,http://www.redfin.com/NJ/Weehawken/800-Ave-at-Port-Imperial-07086/unit-418/home/166900564,NJMLS,1925526,N,Y,40.7754156,-74.0115139
MLS Listing,,Condo/Co-op,800 Ave At Port Imperial #503,Weehawken,NJ,7086,1260000,2,2,Weehawken,1694,,,53,744,,Active,,,http://www.redfin.com/NJ/Weehawken/800-Ave-at-Port-Imperial-07086/unit-503/home/148127028,NJMLS,1925530,N,Y,40.7754156,-74.0115139
MLS Listing,,Condo/Co-op,800 Ave At Port Imperial #414,Weehawken,NJ,7086,805000,1,1,Weehawken,933,,,52,863,,Active,,,http://www.redfin.com/NJ/Weehawken/800-Ave-at-Port-Imperial-07086/unit-414/home/166924699,NJMLS,1925667,N,Y,40.7754156,-74.0115139
MLS Listing,,Condo/Co-op,200 Cambridge Way #20,Weehawken,NJ,7086,1079000,2,3,Weehawken,1850,,,38,583,,Active,,,http://www.redfin.com/NJ/Weehawken/200-Cambridge-Way-07086/unit-20/home/167095511,NJMLS,1928519,N,Y,40.7684884,-74.0167461
MLS Listing,,Condo/Co-op,600 Harbor Blvd #865,Weehawken,NJ,7086,485000,1,1,Weehawken,887,,,33,547,,Active,,,http://www.redfin.com/NJ/Weehawken/600-Harbor-Blvd-07086/unit-865/home/36402608,NJMLS,1929319,N,Y,40.7626876,-74.0206189
MLS Listing,,Condo/Co-op,1000 Ave At Port Imperial #615,Weehawken,NJ,7086,1388888,2,2.5,Weehawken,1809,,,7,768,,Active,,,http://www.redfin.com/NJ/Weehawken/1000-Ave-at-Port-Imperial-07086/unit-615/home/100378266,NJMLS,1933489,N,Y,40.7743595,-74.0112629
MLS Listing,,Condo/Co-op,1200 Ave At Port Imperial #606,Weehawken,NJ,7086,1399000,2,2,Weehawken,,,,7,,,Active,,,http://www.redfin.com/NJ/Weehawken/1200-Ave-at-Port-Imperial-07086/unit-606/home/113694988,NJMLS,1933650,N,Y,40.7736625,-74.0117667
MLS Listing,,Condo/Co-op,1000 AVENUE AT PORT IMPERIAL,Weehawken,NJ,7086,3398000,3,3.5,Weehawken,2259,,,299,1504,1785,Active,,,http://www.redfin.com/NJ/Weehawken/1000-Ave-at-Port-Imperial-07086/home/100378206,HCMLS,180018478,N,Y,40.7743595,-74.0112629
MLS Listing,,Condo/Co-op,100 ETON Row #305,Weehawken,NJ,7086,1225000,2,2.5,Weehawken,1591,,,185,770,913,Active,,,http://www.redfin.com/NJ/Weehawken/100-Eton-Row-07086/unit-305/home/39921770,HCMLS,190001162,N,Y,40.7675686,-74.0173758
